,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj,test_avg,0.25_test_avg,0.75_test_avg,test_avg_mv,0.25_test_avg_mv,0.75_test_avg_mv,test_avg_pre,0.25_test_avg_pre,0.75_test_avg_pre,test_avg_dro,0.25_test_avg_dro,0.75_test_avg_dro,test_avg_scene,0.25_test_avg_scene,0.75_test_avg_scene,test_in,test_in_pre,test_in_mv,test_in_scene,test_in_dro,test_cvar,test_mv_cvar,0.25_mv_cvar,0.75_mv_cvar,test_pre_cvar,0.25_pre_cvar,0.75_pre_cvar,test_dro_cvar,0.25_dro_cvar,0.75_dro_cvar,test_scene_cvar
0,0.0,0.018000000000000002,-380.6972573914981,-387.76431788445694,-380.5858274407086,0.013600000000000001,-367.4039600283611,-370.63244268419817,-362.70276419235597,0.016999999999999998,-358.7724587680991,-368.9320188743741,-351.30300643844396,0.011400000000000002,-349.1095256755141,-353.69504590016356,-342.69639138907627,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-387.25262345494605,-392.8801329435004,-387.0834686760245,-375.4526480726379,-378.7427078187641,-370.7433483582297,-385.56579448469364,-389.99619008678525,-383.8523962839784,-355.879471979632,-360.5368281388637,-349.5473981048218,-395.51302309136435,-397.2382950530247,-393.4378332721587,-387.25262325227675,-385.56579429954485,-375.45264785249225,-395.2539101929493,-353.88400933035484,-379.9892820420001,-367.4039599786987,-370.63244258934384,-362.70276413663794,-358.7724587090527,-368.932018806495,-351.30300640035875,-348.43550197960565,-352.9440234202385,-342.2496365743984,-395.3180789938031
0,0.01,0.0264,-385.62524818683806,-389.27374188181784,-383.6324784685938,0.024,-372.70219080760586,-374.50025329163003,-371.69743106472407,0.025999999999999995,-363.20112189928324,-371.4218743829555,-361.47496023369143,0.017800000000000003,-355.1128759457433,-357.39567747636653,-352.9749955355127,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-391.3725304710023,-395.09479689075255,-390.63735338955973,-380.82397389928894,-382.68006664378515,-379.856473586536,-388.30880730811543,-392.18401673749855,-388.6310671429788,-362.0220051545107,-364.3476307702634,-360.0096233530162,-395.51302309136435,-397.2382950530247,-393.4378332721587,-391.37253027466903,-388.30880713332033,-380.8239736846484,-395.2539101929493,-360.21160194950704,-385.2124899571089,-372.702190729061,-374.50025320103816,-371.69743095823117,-363.201121804369,-371.42187431893007,-361.47495995093533,-354.461999497038,-356.74734712331554,-352.4983138660281,-395.3180789938031
0,0.02,0.0386,-389.6647879728966,-393.06165244963336,-388.48388519146346,0.036199999999999996,-376.09200971231843,-379.2608562528194,-374.11977067098724,0.035,-366.99959799741254,-374.52529498733105,-365.35882920986285,0.0264,-358.7753341736833,-362.20923179068484,-355.5912536537951,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-394.94422834697207,-397.8442824260703,-392.9568281638441,-384.2600752079858,-387.48319006279985,-382.21316037464396,-390.7094218613263,-392.7669981271109,-389.1566094801998,-365.7686745737426,-369.24222838430364,-362.68126701944306,-395.51302309136435,-397.2382950530247,-393.4378332721587,-394.9442281563871,-390.7094216878496,-384.26007496800696,-395.2539101929493,-364.0739563930503,-389.24127528925146,-376.09200961287974,-379.26085612641424,-374.119770599731,-366.9995979154529,-374.5252949311619,-365.3588290227272,-358.1379877401557,-361.5854620079,-355.1070524028037,-395.3180789938031
0,0.03,0.043399999999999994,-390.9644191258222,-393.4259343163965,-390.21673148988066,0.0434,-377.90997485722477,-381.2919019841304,-377.28680389503904,0.040999999999999995,-369.3122906995601,-375.4254875237484,-366.1933507717973,0.0334,-361.68636938592743,-365.5159397168026,-359.4549470070744,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-395.95802975361664,-398.3270870052131,-394.36233968452325,-386.1021057218536,-389.57421609578716,-385.4842483432633,-392.20971980989174,-394.30517186601617,-391.69323101535974,-368.7148038530543,-372.7692996482929,-366.54336621320147,-395.51302309136435,-397.2382950530247,-393.4378332721587,-395.9580295500349,-392.2097196545879,-386.10210551823803,-395.2539101929493,-367.10610240207893,-390.4208269947811,-377.90997477863505,-381.29190196049467,-377.2868038088987,-369.3122906353391,-375.42548742890574,-366.19335062439825,-361.02803277632165,-364.9627389519274,-358.8892208130294,-395.3180789938031
0,0.05,0.0678,-395.89240988776567,-398.1708095578564,-394.56578173955256,0.06600000000000002,-381.88976471113233,-384.64812214935773,-380.53760341798926,0.0628,-373.20438913558803,-380.6246627206866,-372.00827722014117,0.0558,-367.7590462164753,-370.6943841130597,-366.2644073579497,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-400.1579744043676,-401.3936759265856,-398.9830599102332,-390.13789688978676,-392.9726164661622,-388.77586033923893,-394.7044848838139,-396.8077693200569,-394.2540548465802,-374.95266666840854,-378.02281063213707,-373.5155614360073,-395.51302309136435,-397.2382950530247,-393.4378332721587,-400.1579742071684,-394.7044847185889,-390.1378966884955,-395.2539101929493,-373.53524489429475,-395.4998567000269,-381.8897646178869,-384.6481221310797,-380.53760335181005,-373.2043890882319,-380.6246626558752,-372.0082771783642,-367.1471876165854,-370.10457867792064,-365.7028204417869,-395.3180789938031
0,0.08,0.1002,-400.047116229656,-401.6121922002077,-398.0026759821557,0.0884,-384.4650648006308,-386.07981010025713,-384.3685656239742,0.0954,-377.79117305879214,-383.3259104477049,-375.3330012149596,0.0862,-373.9203903094077,-375.73681270837903,-372.93390224028354,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-403.721048226697,-405.46627359576377,-402.38902349462467,-392.74877269228534,-394.39289120614376,-392.6744883288036,-397.58949370089533,-398.66277597386255,-396.4191506948962,-381.2653485460296,-383.1985552086416,-380.3667341901078,-395.51302309136435,-397.2382950530247,-393.4378332721587,-403.72104802017185,-397.58949351790056,-392.74877247979146,-395.2539101929493,-380.03631931633896,-399.81688816543056,-384.4650647131402,-386.0798100817789,-384.36856539584835,-377.7911729404936,-383.3259103818341,-375.33300111241044,-373.34339626649825,-375.1942357160664,-372.45566810992364,-395.3180789938031
0,0.09,0.11080000000000001,-400.5447337031104,-401.6121922002077,-398.95808866540267,0.10640000000000001,-385.70895531669623,-387.997355099786,-384.3685656239742,0.0986,-378.07375983998776,-383.79295671238714,-375.3330012149596,0.09079999999999999,-374.7412171885157,-375.73681270837903,-373.0086616659817,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-404.18481799219666,-405.46627359576377,-402.97767421653975,-394.0098274858018,-396.32537521328635,-392.6744883288036,-397.7762263817117,-398.87137127756824,-396.63441517434177,-382.10081286884844,-383.1985552086416,-380.3667341901078,-395.51302309136435,-397.2382950530247,-393.4378332721587,-404.18481777855953,-397.7762262044758,-394.0098272776787,-395.2539101929493,-380.89648393846517,-400.3511276836257,-385.7089552078098,-387.9973549591027,-384.36856539584835,-378.07375975624325,-383.7929566435686,-375.33300111241044,-374.16161157724383,-375.1942357160664,-372.45566810992364,-395.3180789938031
0,0.1,0.12320000000000002,-401.48392114060897,-403.45291103234473,-399.803646305327,0.11520000000000001,-386.72569223604967,-388.2320727116755,-386.3644901788173,0.11299999999999999,-379.541598207102,-383.79295671238714,-378.6577252257751,0.1078,-376.8864098373623,-378.0433972918588,-375.4180910518789,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-404.9556417819552,-406.0725399366155,-403.9259965794806,-395.0405752416176,-396.5919730894328,-394.6954812966662,-398.70873932885917,-400.28286994911565,-397.9635230854717,-384.2865893543352,-385.3987982753864,-382.7766291567667,-395.51302309136435,-397.2382950530247,-393.4378332721587,-404.95564157951105,-398.7087391623594,-395.0405750585128,-395.2539101929493,-383.1481879629056,-401.32832800347904,-386.7256921350437,-388.2320726388866,-386.36448992576777,-379.541598135257,-383.7929566435686,-378.65772512274464,-376.3019606159602,-377.4255353277984,-374.79785194348983,-395.3180789938031
0,0.12,0.13160000000000002,-402.65181238509285,-404.93539204261356,-401.00328240166164,0.1298,-387.7481594895838,-388.8928666659525,-387.1337160671528,0.14040000000000002,-381.62276846051765,-386.27090427754354,-378.6577252257751,0.124,-378.87649545448267,-380.57519312227845,-377.6469144099895,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-405.78972991966884,-408.0747907009657,-404.7361909967068,-396.0774598483414,-397.2853486883016,-395.5004730852753,-400.05700117587827,-401.30693246117414,-398.4944369431457,-386.3098642229267,-388.064701265355,-385.18816689580444,-395.51302309136435,-397.2382950530247,-393.4378332721587,-405.7897296936286,-400.0570009937959,-396.07745964833106,-395.2539101929493,-385.23113393228306,-402.40401009394225,-387.74815938910035,-388.89286658897635,-387.13371598735796,-381.6227683640692,-386.2709042075283,-378.65772512274464,-378.2851656285664,-379.99676351323757,-377.1448831187189,-395.3180789938031
0,0.15,0.1636,-403.79415720061075,-405.05001028864876,-402.3205226778927,0.1572,-389.7919855686515,-390.90268524211695,-389.13548998470526,0.16439999999999996,-383.7334466790595,-386.99924058391116,-381.9824492481964,0.1584,-385.4673962172611,-384.96074864179207,-381.3931864024511,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-406.55578653861124,-408.3575695619695,-404.9056439889427,-398.14909477122734,-399.3212527270184,-397.52819695003325,-401.3772036362408,-402.35995442384615,-400.14681261924096,-393.04831392168563,-392.5099505931127,-389.0391984151468,-395.51302309136435,-397.2382950530247,-393.4378332721587,-406.55578633211366,-401.37720345499304,-398.1490945988891,-395.2539101929493,-392.14814134971357,-403.7296639357283,-389.7919855050767,-390.90268521512587,-389.1354899584253,-383.7334466131713,-386.99924046558306,-381.9824491548164,-384.8822500780294,-384.3898940760125,-380.9638194375941,-395.3180789938031
0,0.18,0.1888,-405.2176040500469,-407.71209508529574,-403.3343074641726,0.18619999999999998,-391.4013070974887,-392.9125037290201,-390.5858064001585,0.2016,-385.75098270691785,-389.8922570701019,-385.038269783908,0.183,-388.19273170219833,-386.65746181752075,-382.9918577522918,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-407.59596827141104,-410.2965454087106,-405.2299231563916,-399.7800215623578,-401.3571566451707,-398.9912226657019,-402.7181994905742,-403.84628804855384,-402.0106435923399,-395.8248300505503,-394.248110675093,-390.55836636769277,-395.51302309136435,-397.2382950530247,-393.4378332721587,-407.5959680815846,-402.7181993021615,-399.7800213863886,-395.2539101929493,-395.00340649270504,-405.2032151181546,-391.4013069985874,-392.9125036590727,-390.58580636308886,-385.7509826110429,-389.8922570233385,-385.0382696936216,-387.61089874336005,-386.09888651351207,-382.4632321104833,-395.3180789938031
0,0.2,0.22359999999999997,-406.46731247470814,-408.80420206241865,-404.4283235186782,0.2004,-392.0390296070666,-393.1285761521141,-391.13726376195814,0.21739999999999998,-386.6846373960419,-389.8922570701019,-385.038269783908,0.20579999999999998,-394.94018769054617,-401.4755215081359,-388.92386034934736,1.0,-420.81588696911695,0.45965195975595863,-395.3727717120228,-420.984300133235,-420.7168512125298,-397.14131932709404,-393.2925993141831,-408.8065725153148,-410.3096178863748,-406.9904006540612,-400.4265999948333,-401.53053375462684,-399.5542771264164,-403.28932922177603,-404.2772637667014,-402.0106435923399,-402.7500934375464,-409.49399163279196,-396.53095944039455,-395.51302309136435,-397.2382950530247,-393.4378332721587,-408.80657233481014,-403.2893290410253,-400.42659983320993,-395.2539101929493,-402.11124496966704,-406.37065701924536,-392.0390295098495,-393.12857612679153,-391.1372636302498,-386.6846372921999,-389.8922570233385,-385.0382696936216,-394.38945727398624,-400.99646612533724,-388.27139061474617,-395.3180789938031
